lote;x;y
0001;251300.590314912;7237008.51644118
0001;251302.623314912;7237008.51644118
0001;251304.656314912;7237008.51644118
0001;251306.689314912;7237008.51644118
0001;251308.722314912;7237008.51644118
0001;251310.755314912;7237008.51644118
0001;251312.788314912;7237008.51644118
0001;251314.821314912;7237008.51644118
0001;251316.854314912;7237008.51644118
0001;251300.590314912;7237006.51644118
0001;251302.623314912;7237006.51644118
0001;251304.656314912;7237006.51644118
0001;251306.689314912;7237006.51644118
0001;251308.722314912;7237006.51644118
0001;251310.755314912;7237006.51644118
0001;251312.788314912;7237006.51644118
0001;251314.821314912;7237006.51644118
0001;251316.854314912;7237006.51644118
0001;251300.590314912;7237004.51644118
0001;251302.623314912;7237004.51644118
0001;251304.656314912;7237004.51644118
0001;251306.689314912;7237004.51644118
0001;251308.722314912;7237004.51644118
0001;251310.755314912;7237004.51644118
0001;251312.788314912;7237004.51644118
0001;251314.821314912;7237004.51644118
0001;251316.854314912;7237004.51644118
0001;251300.590314912;7237002.51644118
0001;251302.623314912;7237002.51644118
0001;251304.656314912;7237002.51644118
0001;251306.689314912;7237002.51644118
0001;251308.722314912;7237002.51644118
0001;251310.755314912;7237002.51644118
0001;251312.788314912;7237002.51644118
0001;251314.821314912;7237002.51644118
0001;251316.854314912;7237002.51644118
0001;251300.590314912;7237000.51644118
0001;251302.623314912;7237000.51644118
0001;251304.656314912;7237000.51644118
0001;251306.689314912;7237000.51644118
0001;251308.722314912;7237000.51644118
0001;251310.755314912;7237000.51644118
0001;251312.788314912;7237000.51644118
0001;251314.821314912;7237000.51644118
0001;251316.854314912;7237000.51644118
0001;251300.590314912;7236998.51644118
0001;251302.623314912;7236998.51644118
0001;251304.656314912;7236998.51644118
0001;251306.689314912;7236998.51644118
0001;251308.722314912;7236998.51644118
0001;251310.755314912;7236998.51644118
0001;251312.788314912;7236998.51644118
0001;251314.821314912;7236998.51644118
0001;251316.854314912;7236998.51644118
0001;251300.590314912;7236996.51644118
0001;251302.623314912;7236996.51644118
0001;251304.656314912;7236996.51644118
0001;251306.689314912;7236996.51644118
0001;251308.722314912;7236996.51644118
0001;251310.755314912;7236996.51644118
0001;251312.788314912;7236996.51644118
0001;251314.821314912;7236996.51644118
0001;251316.854314912;7236996.51644118
0001;251300.590314912;7236994.51644118
0001;251302.623314912;7236994.51644118
0001;251304.656314912;7236994.51644118
0001;251306.689314912;7236994.51644118
0001;251308.722314912;7236994.51644118
0001;251310.755314912;7236994.51644118
0001;251312.788314912;7236994.51644118
0001;251314.821314912;7236994.51644118
0001;251316.854314912;7236994.51644118
0001;251300.590314912;7236992.51644118
0001;251302.623314912;7236992.51644118
0001;251304.656314912;7236992.51644118
0001;251306.689314912;7236992.51644118
0001;251308.722314912;7236992.51644118
0001;251310.755314912;7236992.51644118
0001;251312.788314912;7236992.51644118
0001;251314.821314912;7236992.51644118
0001;251316.854314912;7236992.51644118
0001;251300.590314912;7236990.51644118
0001;251302.623314912;7236990.51644118
