Codigo;Min;Max;Descricao
TRA001;1.0;3.0;Ciclos Conversao Ovos em Larvas
TRA002;0.45;0.5;BS12 Ovos
TRA003;0.45;0.5;CS12 Ovos
TRA004;0.45;0.5;BI12 Ovos
TRA005;0.45;0.5;CI12 Ovos
TRA006;30.0;30.0;Ciclos Conversao Machos Ativos Saudaveis em Decadentes
TRA007;20.0;20.0;Ciclos Conversao Machos Ativos Com Wolbachia em Decadentes
TRA008;0.9;1.0;CS23
TRA009;0.9;1.0;CI23
TRA010;30.0;30.0;Ciclos Conversao Femeas Ativas Saudaveis em Decadentes
TRA011;20.0;20.0;Ciclos Conversao Femeas Ativas Com Wolbachia em Decadentes
TRA012;0.9;1.0;BS23
TRA013;0.9;1.0;BI23
TRA014;3.0;5.0;Ciclos Conversao Larvas em Pupas
TRA015;0.45;0.5;BS12 Larvas
TRA016;0.45;0.5;CS12 Larvas
TRA017;0.45;0.5;BI12 Larvas
TRA018;0.45;0.5;CI12 Larvas
TRA019;5.0;7.0;Ciclos Conversao Pupas em Alados
TRA020;0.45;0.5;BS12 Pupas
TRA021;0.45;0.5;CS12 Pupas
TRA022;0.45;0.5;BI12 Pupas
TRA023;0.45;0.5;CI12 Pupas
